Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
1,SSP,MA,148 Janevarakul,Theeradej,,,,10,,1,0,,151.43,13,,1,,,,18.53,18.53,,,,,,,,12.41,12.41,,,,,,,,12.05,12.05,,,,,,,,11.16,10.16,1,,,,,,,16.80,15.80,1,,,,,,,18.09,17.09,1,,,,,,,15.20,14.20,1,,,,,,,11.60,11.60,,,,,,,,15.61,11.61,1,,1,,,,,19.98,11.98,8,,,,,,
2,SSP,EX,143 Pinyosri,Chatchai,TH388588,,,10,,1,0,,151.80,8,,,,,,18.15,18.15,,,,,,,,13.88,13.88,,,,,,,,13.73,12.73,1,,,,,,,10.94,10.94,,,,,,,,16.99,16.99,,,,,,,,17.87,17.87,,,,,,,,17.60,17.60,,,,,,,,13.81,12.81,1,,,,,,,11.77,11.77,,,,,,,,17.06,11.06,6,,,,,,
3,SSP,EX,141 Uraisint,Sirawit,TH1000299,,,10,,1,0,,158.51,17,,,,,,17.84,16.84,1,,,,,,,12.07,12.07,,,,,,,,14.96,11.96,3,,,,,,,14.80,14.80,,,,,,,,16.32,15.32,1,,,,,,,21.42,20.42,1,,,,,,,14.89,14.89,,,,,,,,12.11,11.11,1,,,,,,,13.08,11.08,2,,,,,,,21.02,13.02,8,,,,,,
4,CCP,EX,142 Yingsirithananont,Athipatch,TH1012444,,,10,,1,0,,168.33,19,,,,,,19.84,17.84,2,,,,,,,13.09,13.09,,,,,,,,15.78,13.78,2,,,,,,,13.60,12.60,1,,,,,,,20.28,18.28,2,,,,,,,18.79,18.79,,,,,,,,15.27,14.27,1,,,,,,,16.71,14.71,2,,,,,,,18.94,12.94,6,,,,,,,16.03,13.03,3,,,,,,
5,ESP,MA,140 Srirongmuang,Siam,TH1007608,,,10,,1,0,,172.87,12,,,,,,19.21,17.21,2,,,,,,,12.45,12.45,,,,,,,,13.20,13.20,,,,,,,,14.70,13.70,1,,,,,,,16.95,16.95,,,,,,,,18.93,17.93,1,,,,,,,35.43,34.43,1,,,,,,,15.00,13.00,2,,,,,,,10.59,9.59,1,,,,,,,16.41,12.41,4,,,,,,
6,CCP,EX,103 Sodsoy,Nutthapong,TH431698,,,10,,1,0,Military,177.03,22,,,,,,23.26,19.26,4,,,,,,,14.33,13.33,1,,,,,,,16.73,15.73,1,,,,,,,12.93,12.93,,,,,,,,20.71,17.71,3,,,,,,,22.25,20.25,2,,,,,,,24.78,19.78,5,,,,,,,13.40,13.40,,,,,,,,10.78,9.78,1,,,,,,,17.86,12.86,5,,,,,,
7,CCP,SS,146 Lerspattanathai,Kiattisak,,,,6,,1,0,,185.83,20,,,,,,25.10,20.10,5,,,,,,,15.21,15.21,,,,,,,,17.63,17.63,,,,,,,,16.34,15.34,1,,,,,,,18.63,18.63,,,,,,,,25.57,24.57,1,,,,,,,14.25,14.25,,,,,,,,13.61,12.61,1,,,,,,,14.28,13.28,1,,,,,,,25.21,14.21,11,,,,,,
8,ESP,SS,206 Sathityuttrakarn,Passakorn,,,,6,,1,0,Senior,212.78,10,,,,,,25.84,22.84,3,,,,,,,17.40,17.40,,,,,,,,19.94,18.94,1,,,,,,,16.99,16.99,,,,,,,,24.06,24.06,,,,,,,,33.54,33.54,,,,,,,,19.62,16.62,3,,,,,,,14.75,13.75,1,,,,,,,23.90,22.90,1,,,,,,,16.74,15.74,1,,,,,,
9,CDP,SS,147 Kunlasetthawat,Tanakom,,,,6,,1,0,,213.33,8,,,,,,26.22,25.22,1,,,,,,,17.55,17.55,,,,,,,,14.59,14.59,,,,,,,,16.73,16.73,,,,,,,,28.38,27.38,1,,,,,,,33.96,33.96,,,,,,,,22.26,21.26,1,,,,,,,18.48,18.48,,,,,,,,16.58,16.58,,,,,,,,18.58,13.58,5,,,,,,
10,SSP,NV,104 Sodsomta,Phennapa,,,,10,,1,0,Lady,236.22,31,,,,,,23.71,22.71,1,,,,,,,15.85,15.85,,,,,,,,18.70,17.70,1,,,,,,,18.67,17.67,1,,,,,,,23.83,21.83,2,,,,,,,27.74,22.74,5,,,,,,,47.61,43.61,4,,,,,,,16.40,15.40,1,,,,,,,15.81,15.81,,,,,,,,27.90,11.90,16,,,,,,
