Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
dnf,SSP,UN,137 JAKKRAPHOBYOTHIN,AIYARES,,,,1,,0,1,,221.75,29,,1,,,,53.44,48.44,5,,,,,,,28.25,28.25,,,,,,,,34.33,32.33,2,,,,,,,24.70,17.70,7,,,,,,,40.58,33.58,4,,1,,,,,40.45,29.45,11,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,002 Phongwhan,Panuphong,TH1022231,,,1,,0,1,Government & Stage Enterprises,178.00,25,,,,,,43.71,36.71,7,,,,,,,25.31,25.31,,,,,,,,38.42,28.42,10,,,,,,,26.62,24.62,2,,,,,,,43.94,37.94,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,SS,206 Sathityuttrakarn,Passakorn,,,,6,,0,1,Senior,117.65,8,,,,,,25.84,22.84,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,33.54,33.54,,,,,,,,19.62,16.62,3,,,,,,,14.75,13.75,1,,,,,,,23.90,22.90,1,,,,,,,,,,,,,,,1
dnf,SSP,UN,014 Boonrit,Surachet,TH1022680,,,3,,0,1,,179.92,22,,1,,,,,,,,,,,,1,,,,,,,,,1,20.99,20.99,,,,,,,,28.01,24.01,4,,,,,,,38.72,33.72,2,,1,,,,,56.92,53.92,3,,,,,,,35.28,22.28,13,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,UN,083 Kongkabpan,Daolada,,,,5,,0,1,Lady,155.44,32,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,72.18,50.18,22,,,,,,,83.26,73.26,10,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,CO,EX,204 Suriyasenee,Nachapol,TH764794,,,11,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,046 Thanawisitronnakorn,Nida,TH1022766,,,3,,0,1,Lady,336.62,48,,,,,,,,,,,,,,1,,,,,,,,,1,44.06,37.06,7,,,,,,,48.49,40.49,8,,,,,,,66.71,52.71,14,,,,,,,77.93,68.93,9,,,,,,,42.26,41.26,1,,,,,,,57.17,48.17,9,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,145 Chandratip,Krit,,,,2,,0,1,,222.50,9,,,,,,,,,,,,,,1,23.49,23.49,,,,,,,,26.43,26.43,,,,,,,,51.02,49.02,2,,,,,,,43.33,39.33,4,,,,,,,38.11,35.11,3,,,,,,,40.12,40.12,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,UN,129 Koh Sakpet,Sirachat,,,,9,,0,1,Law Enforcement,106.55,15,,,,,,22.39,21.39,1,,,,,,,21.46,21.46,,,,,,,,19.76,19.76,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,15.69,13.69,2,,,,,,,27.25,15.25,12,,,,,,
dnf,SSP,NV,071 Jittarom,Krit,,,,9,,0,1,Junior,104.96,25,,,,,,32.35,19.35,13,,,,,,,17.34,17.34,,,,,,,,19.34,15.34,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,16.90,15.90,1,,,,,,,19.03,12.03,7,,,,,,
dnf,CO,NV,054 Anuragsa,Nattamon,,,,2,,0,1,Lady,167.60,8,,,,,,,,,,,,,,1,30.78,30.78,,,,,,,,24.67,22.67,2,,,,,,,30.76,26.76,4,,,,,,,28.99,28.99,,,,,,,,30.07,29.07,1,,,,,,,22.33,21.33,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,UN,009 Amnuckmanee,Wanjuck,TH244242,,,5,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,084 Rojnakarint,Suthichai,,,,4,,0,1,Senior,235.85,55,2,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.63,21.63,6,,,,,,,31.80,27.80,1,,1,,,,,90.65,70.65,10,2,,,,,,54.86,27.86,27,,,,,,,30.91,19.91,11,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,SPD,ALL,063 Promcha,Pacharamon,TH1020610,,,2,,0,1,,212.32,12,,2,,,,,,,,,,,,1,25.55,25.55,,,,,,,,56.45,49.45,1,,2,,,,,29.74,26.74,3,,,,,,,33.18,29.18,4,,,,,,,37.66,36.66,1,,,,,,,29.74,26.74,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,SS,146 Lerspattanathai,Kiattisak,,,,6,,0,1,,92.81,8,,,,,,25.10,20.10,5,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,25.57,24.57,1,,,,,,,14.25,14.25,,,,,,,,13.61,12.61,1,,,,,,,14.28,13.28,1,,,,,,,,,,,,,,,1
dnf,CDP,MA,134 Detudom,Lattavit,,,,8,,0,1,,79.44,5,,,,,,18.01,17.01,1,,,,,,,16.42,16.42,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,15.50,15.50,,,,,,,,14.37,13.37,1,,,,,,,15.14,12.14,3,,,,,,
dnf,CCP,SS,096 Apaipollchan,Veravit,TH0017,,,4,,0,1,Senior,128.01,6,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,28.76,23.76,5,,,,,,,26.88,25.88,1,,,,,,,34.40,34.40,,,,,,,,20.45,20.45,,,,,,,,17.52,17.52,,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,CCP,NV,039 Wongchanglor,Chanida,TH1022653,,,3,,0,1,"Lady,Senior",350.08,33,,1,,,,,,,,,,,,1,,,,,,,,,1,48.61,46.61,2,,,,,,,45.40,40.40,5,,,,,,,87.26,76.26,11,,,,,,,58.76,57.76,1,,,,,,,59.96,58.96,1,,,,,,,50.09,34.09,13,,1,,,,,,,,,,,,,1,,,,,,,,,1
dnf,ESP,SS,202 Roopkhamdee,Suphinya,TH1011789,,,4,,0,1,Lady,82.75,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,13.01,13.01,,,,,,,,17.63,16.63,1,,,,,,,19.42,19.42,,,,,,,,19.09,19.09,,,,,,,,13.60,13.60,,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,008 Jirabovonvisut,Bovon,TH1022772,,,3,,0,1,,140.57,10,,,,,,,,,,,,,,1,,,,,,,,,1,20.17,20.17,,,,,,,,21.14,19.14,2,,,,,,,34.38,33.38,1,,,,,,,31.68,31.68,,,,,,,,33.20,26.20,7,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,EX,142 Yingsirithananont,Athipatch,TH1012444,,,10,,0,1,,98.62,10,,,,,,19.84,17.84,2,,,,,,,13.09,13.09,,,,,,,,15.78,13.78,2,,,,,,,13.60,12.60,1,,,,,,,20.28,18.28,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,16.03,13.03,3,,,,,,
dnf,ESP,MM,208 JIANG,K.Z.,,,,7,,0,1,International,107.68,19,,1,,,,21.19,18.19,3,,,,,,,17.03,17.03,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,17.20,14.20,3,,,,,,,14.89,9.89,5,,,,,,,18.36,13.36,2,,1,,,,,19.01,13.01,6,,,,,,
dnf,SSP,UN,042 Bovornratanaraks,Krisna(Gen.),,,,5,,0,1,Senior,266.82,15,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,57.20,57.20,,,,,,,,43.05,43.05,,,,,,,,73.35,73.35,,,,,,,,36.50,32.50,4,,,,,,,56.72,42.72,11,,1,,,,,,,,,,,,,1
dnf,CCP,UN,108 Jenjaka,Pawin,,,,8,,0,1,,105.75,26,1,,,,,27.14,19.14,3,1,,,,,,14.69,14.69,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,17.37,15.37,2,,,,,,,14.65,13.65,1,,,,,,,31.90,11.90,20,,,,,,
dnf,CCP,EX,075 P.,Puvanai,,,,4,,0,1,,96.09,7,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,18.88,13.88,5,,,,,,,17.67,17.67,,,,,,,,22.42,21.42,1,,,,,,,22.26,22.26,,,,,,,,14.86,13.86,1,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,ESP,NV,211 WU,JIANMIN,,,,7,,0,1,International,114.52,25,,,,,,33.11,28.11,5,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,31.56,19.56,12,,,,,,,25.62,18.62,7,,,,,,,24.23,23.23,1,,,,,,,,,,,,,,,1
dnf,CO,NV,098 (Wachirasrisirikul),Ch. MO (Thrinnasith),,,,10,,0,1,,172.96,66,,1,,,,23.47,22.47,1,,,,,,,19.29,17.29,2,,,,,,,42.91,13.91,26,,1,,,,,17.46,16.46,1,,,,,,,32.39,28.39,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,37.44,5.44,32,,,,,,
dnf,SSP,NV,040 Meesangprao,Kawin,,,,1,,0,1,,220.91,10,,,,,,47.42,45.42,2,,,,,,,29.05,29.05,,,,,,,,29.48,28.48,1,,,,,,,34.38,29.38,5,,,,,,,41.80,41.80,,,,,,,,38.78,36.78,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,UN,095 Nilapornkul,Piyaphat,,,,4,,0,1,Government & Stage Enterprises,199.07,10,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,29.36,27.36,2,,,,,,,51.09,50.09,1,,,,,,,52.56,45.56,2,1,,,,,,38.34,35.34,3,,,,,,,27.72,25.72,2,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,CO,EX,126 Nutong,Nattawut,,,,9,,0,1,Law Enforcement,75.31,6,,,,,,15.66,15.66,,,,,,,,14.76,14.76,,,,,,,,13.93,13.93,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,12.76,12.76,,,,,,,,18.20,12.20,6,,,,,,
dnf,CCP,NV,201 Maneechansuk,Ekkaphong,,,,10,,0,1,,135.35,18,,1,,,,28.91,23.91,5,,,,,,,30.54,28.54,2,,,,,,,33.84,28.84,2,,1,,,,,20.11,20.11,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,21.95,12.95,9,,,,,,
dnf,SSP,NV,104 Sodsomta,Phennapa,,,,10,,0,1,Lady,128.66,21,,,,,,23.71,22.71,1,,,,,,,15.85,15.85,,,,,,,,18.70,17.70,1,,,,,,,18.67,17.67,1,,,,,,,23.83,21.83,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.90,11.90,16,,,,,,
dnf,SSP,MM,026 Ingkasuwan,Nithi(Maj.Gen.),,,,5,,0,1,"Senior,Military",192.56,7,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,39.16,39.16,,,,,,,,46.94,44.94,2,,,,,,,36.36,32.36,4,,,,,,,35.54,34.54,1,,,,,,,34.56,31.56,,,1,,,,,,,,,,,,,1
dnf,SSP,NV,091 Ditsabanchong,Rungroj,TH1021519,,,2,,0,1,,142.95,9,,,,,,,,,,,,,,1,19.95,19.95,,,,,,,,19.45,19.45,,,,,,,,21.42,21.42,,,,,,,,25.03,25.03,,,,,,,,28.64,25.64,3,,,,,,,28.46,22.46,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,NV,116 Kodom,Sasirin,,,,7,,0,1,Lady,189.08,62,,,,,,34.48,25.48,9,,,,,,,22.14,22.14,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,30.23,26.23,4,,,,,,,19.48,18.48,1,,,,,,,21.11,20.11,1,,,,,,,61.64,14.64,47,,,,,,
dnf,CCP,MM,086 Pongken,Charin,TH1022677,,,3,,0,1,Military,164.32,29,,,,,,,,,,,,,,1,,,,,,,,,1,22.42,17.42,5,,,,,,,27.83,20.83,7,,,,,,,26.39,22.39,4,,,,,,,29.73,26.73,3,,,,,,,31.78,25.78,6,,,,,,,26.17,22.17,4,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,BUG,MM,060 Poomsirianan,Thanawat,,,,6,,0,1,,129.10,18,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,41.80,37.80,4,,,,,,,28.91,24.91,4,,,,,,,28.49,22.49,6,,,,,,,29.90,25.90,4,,,,,,,,,,,,,,,1
dnf,CCP,SS,205 Anuragsa,Nattinee,,,,2,,0,1,Lady,155.91,2,,,,,,,,,,,,,,1,25.49,25.49,,,,,,,,23.00,23.00,,,,,,,,26.70,24.70,2,,,,,,,26.33,26.33,,,,,,,,27.56,27.56,,,,,,,,26.83,26.83,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,MM,034 Attametee,Pakorn(FS1.),TH1020613,,,2,,0,1,Military,184.96,9,,,,,,,,,,,,,,1,26.55,26.55,,,,,,,,27.07,24.07,3,,,,,,,32.37,31.37,1,,,,,,,28.51,27.51,1,,,,,,,46.93,45.93,1,,,,,,,23.53,20.53,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,NV,020 Maneenum,Tikkhapan,,,,4,,0,1,"Lady,Law Enforcement",183.91,26,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.14,21.14,6,,,,,,,53.52,46.52,7,,,,,,,52.88,48.88,4,,,,,,,24.55,19.55,5,,,,,,,25.82,21.82,4,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,ESP,EX,132 Kasornsukon,Visut,,,,8,,0,1,,83.81,7,,,,,,22.15,19.15,3,,,,,,,17.69,17.69,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,13.69,12.69,1,,,,,,,13.27,13.27,,,,,,,,17.01,14.01,3,,,,,,
dnf,ESP,SS,033 Thumweerayothin,Thossapoom,TH1008082,,,7,,0,1,,119.69,8,,,,,,21.47,18.47,3,,,,,,,14.65,14.65,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,36.91,36.91,,,,,,,,15.63,14.63,1,,,,,,,14.64,14.64,,,,,,,,16.39,12.39,4,,,,,,
dnf,CCP,MM,006 Boonruang,Jaturong,TH1021489,,,1,,0,1,,195.30,35,,,,,,46.08,34.08,12,,,,,,,19.55,19.55,,,,,,,,26.17,22.17,4,,,,,,,28.12,24.12,4,,,,,,,32.38,29.38,3,,,,,,,43.00,31.00,12,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
